type_value,pp_code,parking_pl_value,x,y,destination,no_of_lots
MYCYCLE LOTS,K0078,KALLANG SPORTS COMPLEX CARPARK 4,1.30296075860284,103.876860795371,"(1.30296075860284, 103.876860795371)",5
MYCYCLE LOTS,Y0020,YIO CHU KANG ROAD HVP,1.39026184294835,103.863895049883,"(1.39026184294835, 103.863895049883)",138
MYCYCLE LOTS,K0099,KAMPONG EUNOS,1.31801484389804,103.906600813752,"(1.31801484389804, 103.906600813752)",9
MYCYCLE LOTS,T0153,TAMPINES NORTH DRIVE 3 HVP,1.37172993243986,103.936311968197,"(1.37172993243986, 103.936311968197)",133
MYCYCLE LOTS,J0054,JALAN BESAR / BEATTY ROAD OFF STREET,1.31324176294453,103.859450403324,"(1.31324176294453, 103.859450403324)",47
MYCYCLE LOTS,P0083,PIONEER SECTOR 3,1.30595198663804,103.664219095639,"(1.30595198663804, 103.664219095639)",33
MYCYCLE LOTS,Y0020,YIO CHU KANG ROAD HVP,1.39026184294835,103.863895049883,"(1.39026184294835, 103.863895049883)",138
MYCYCLE LOTS,Y0020,YIO CHU KANG ROAD HVP,1.39026184294835,103.863895049883,"(1.39026184294835, 103.863895049883)",138
MYCYCLE LOTS,B0004,BULIM AVENUE H V PARK,1.35568371142578,103.709595309835,"(1.35568371142578, 103.709595309835)",88
MYCYCLE LOTS,T0151,TAMPINES ROAD H V PARK,1.36328135992712,103.902667459286,"(1.36328135992712, 103.902667459286)",105
MYCYCLE LOTS,T0131,TAMPINES AVENUE 9 / AVENUE 10 HEAVY VEHICLE PARK,1.36155781620901,103.931273120491,"(1.36155781620901, 103.931273120491)",92
MYCYCLE LOTS,T0131,TAMPINES AVENUE 9 / AVENUE 10 HEAVY VEHICLE PARK,1.36155781620901,103.931273120491,"(1.36155781620901, 103.931273120491)",92
MYCYCLE LOTS,Y0020,YIO CHU KANG ROAD HVP,1.39026184294835,103.863895049883,"(1.39026184294835, 103.863895049883)",138
MYCYCLE LOTS,A0049,ANG MO KIO AVENUE 1 HEAVY VEHICLE PARK,1.35884579361442,103.853304445797,"(1.35884579361442, 103.853304445797)",12
MYCYCLE LOTS,W0040,WOODLANDS AVENUE 9 (WOODLANDS AVENUE 8 / LINK),1.45223689268099,103.806121465599,"(1.45223689268099, 103.806121465599)",19
MYCYCLE LOTS,,,1.36241612158799,103.93242189035,"(1.36241612158799, 103.93242189035)",53
MYCYCLE LOTS,A0025,ADAM ROAD / DUNEARN CLOSE OFF STREET,1.32430112583925,103.814295864569,"(1.32430112583925, 103.814295864569)",22
MYCYCLE LOTS,M0043,MOUNT EMILY ROAD,1.30414205888101,103.849447518856,"(1.30414205888101, 103.849447518856)",5
MYCYCLE LOTS,D0027,DUNMAN RD FOOD CENTRE OFF STREET,1.30945067117314,103.901660290751,"(1.30945067117314, 103.901660290751)",11
MYCYCLE LOTS,V0007,VERDUN ROAD OFF STREET,1.31015970172194,103.856152854588,"(1.31015970172194, 103.856152854588)",23
CAR LOTS,F0001,FORT CANNING PARK A OFF STREET,1.29630004736022,103.847593512052,"(1.29630004736022, 103.847593512052)",43
CAR LOTS,O0005,OLD UPPER THOMSON ROAD OFF STREET,1.37738665030631,103.828064566542,"(1.37738665030631, 103.828064566542)",17
CAR LOTS,T0036,TAMPINES PLACE,1.36706951108667,103.928720445953,"(1.36706951108667, 103.928720445953)",17
CAR LOTS,K0022,KAKI BUKIT AVENUE 4,1.33899404472698,103.906640522622,"(1.33899404472698, 103.906640522622)",16
MYCYCLE LOTS,B0081,BUKIT BATOK ROAD / JURONG ROAD OFF STREET,1.34727434226287,103.736683325094,"(1.34727434226287, 103.736683325094)",156
MYCYCLE LOTS,T0102,TUAS ROAD,1.30738967235687,103.64951257202,"(1.30738967235687, 103.64951257202)",127
MYCYCLE LOTS,T0107,TAMPINES ROAD / HOUGANG AVENUE 7 (A) HEAVY VEHCILE PARK,1.3621325503591,103.896316947742,"(1.3621325503591, 103.896316947742)",71
MYCYCLE LOTS,L0088,LOYANG DRIVE,1.37039920432763,103.967612012889,"(1.37039920432763, 103.967612012889)",65
MYCYCLE LOTS,S0151,SEMBAWANG DRIVE HEAVY VEHICLE PARK,1.46054168295096,103.815357586108,"(1.46054168295096, 103.815357586108)",49
MYCYCLE LOTS,Y0017,YISHUN AVENUE 7 HEAVY VEHICLE PARK,1.44328434728219,103.841150036428,"(1.44328434728219, 103.841150036428)",106
MYCYCLE LOTS,S0049,SERANGOON RD / LAVENDER STREET OFF STREET,1.31452842327151,103.858487560962,"(1.31452842327151, 103.858487560962)",139
MYCYCLE LOTS,S0049,SERANGOON RD / LAVENDER STREET OFF STREET,1.31452842327151,103.858487560962,"(1.31452842327151, 103.858487560962)",139
MYCYCLE LOTS,S0049,SERANGOON RD / LAVENDER STREET OFF STREET,1.31452842327151,103.858487560962,"(1.31452842327151, 103.858487560962)",139
MYCYCLE LOTS,B0082,BRADDELL ROAD HEAVY VEHICLE PARK,1.34360425926401,103.857967696379,"(1.34360425926401, 103.857967696379)",29
MYCYCLE LOTS,B0082,BRADDELL ROAD HEAVY VEHICLE PARK,1.34360425926401,103.857967696379,"(1.34360425926401, 103.857967696379)",29
MYCYCLE LOTS,M0079,MARSILING CRESCENT  HEAVY VEHICLE PARK,1.44589297303171,103.776824113319,"(1.44589297303171, 103.776824113319)",172
MYCYCLE LOTS,L0117,LORONG 25 / 25A GEYLANG OFF STREET (EPS),1.31521179225489,103.882582334965,"(1.31521179225489, 103.882582334965)",117
MYCYCLE LOTS,P0031,PEPYS ROAD OFF STREET,1.27602683733326,103.793610579073,"(1.27602683733326, 103.793610579073)",35
MYCYCLE LOTS,K0037,KING GEORGE'S AVE OFF STREET,1.31011786115741,103.861628372536,"(1.31011786115741, 103.861628372536)",26
CAR LOTS,L0030,LORONG BACHOK,1.31389448591527,103.879289375422,"(1.31389448591527, 103.879289375422)",13
MYCYCLE LOTS,BL008,BACKLANE BET NORTH CANAL ROAD / CIRCULAR ROAD,1.28645979853577,103.848178207422,"(1.28645979853577, 103.848178207422)",24
CAR LOTS,A0043,AYER RAJAH CRESCENT,1.29282022171078,103.788247789168,"(1.29282022171078, 103.788247789168)",17
CAR LOTS,J0049,JELLICOE ROAD,1.30749674227152,103.861689347351,"(1.30749674227152, 103.861689347351)",3
CAR LOTS,U0029,UPPER THOMSON ROAD,1.35083373781469,103.83648142931,"(1.35083373781469, 103.83648142931)",7
CAR LOTS,P0095,PENJURU CLOSE,1.31230560400533,103.733130923188,"(1.31230560400533, 103.733130923188)",11
CAR LOTS,M0072,MANDALAY ROAD,1.32081152583554,103.849557002738,"(1.32081152583554, 103.849557002738)",10
CAR LOTS,T0070,TANGLIN HALT CLOSE,1.30341194785124,103.796141593141,"(1.30341194785124, 103.796141593141)",37
CAR LOTS,K0034,KUNG CHONG ROAD,1.2895991922446,103.812531828348,"(1.2895991922446, 103.812531828348)",38
CAR LOTS,U0016,UBI ROAD 3,1.33208513945439,103.897728648636,"(1.33208513945439, 103.897728648636)",16
CAR LOTS,T0060,TOH GUAN ROAD,1.33370866865043,103.748865274548,"(1.33370866865043, 103.748865274548)",5
CAR LOTS,S0063,SERANGOON GARDEN WAY,1.36436061982298,103.864605362474,"(1.36436061982298, 103.864605362474)",5
CAR LOTS,U0035,UPPER SERANGOON ROAD (BARTLEY ROAD JUNTION),1.3438661964091,103.87090320466,"(1.3438661964091, 103.87090320466)",31
CAR LOTS,T0062,TAI SENG DRIVE,1.3375242022355,103.893041255061,"(1.3375242022355, 103.893041255061)",14
CAR LOTS,T0096,TUAS WEST AVENUE,1.33235673680474,103.638197355306,"(1.33235673680474, 103.638197355306)",43
CAR LOTS,B0020,BUSSORAH STREET,1.30066791441098,103.860224308086,"(1.30066791441098, 103.860224308086)",13
CAR LOTS,C0126,CHANGI SOUTH AVENUE 2,1.33172356119756,103.969742500085,"(1.33172356119756, 103.969742500085)",14
CAR LOTS,P0015,PRINSEP STREET,1.30002382061839,103.849854726771,"(1.30002382061839, 103.849854726771)",84
CAR LOTS,U0023,UNITY STREET,1.29175583501137,103.842477786448,"(1.29175583501137, 103.842477786448)",20
CAR LOTS,S0148,SUNGEI KADUT CRESCENT,1.40896874855007,103.745035528682,"(1.40896874855007, 103.745035528682)",9
CAR LOTS,L0020,LORONG 13 GEYLANG,1.31251072510667,103.87775028996,"(1.31251072510667, 103.87775028996)",21
CAR LOTS,M0050,MND COMPLEX (SURFACE),1.27916729638848,103.846232064861,"(1.27916729638848, 103.846232064861)",147
