type_value,pp_code,parking_pl_value,x,y,destination,no_of_lots
MYCYCLE LOTS,P0054,PASIR PANJANG RD FOOD CENTRE,1.27603559313122,103.791111600083,"(1.27603559313122, 103.791111600083)",17
MYCYCLE LOTS,D0029,DAIRY FARM ROAD /  PETIR ROAD HEAVY VEHCLE PARK,1.36593371476921,103.775703395827,"(1.36593371476921, 103.775703395827)",96
MYCYCLE LOTS,P0076,PANDAN ROAD,1.29840238065476,103.753947447402,"(1.29840238065476, 103.753947447402)",10
MYCYCLE LOTS,C0114,CHANGI ROAD SERVICE ROAD,1.31806774660081,103.908198166164,"(1.31806774660081, 103.908198166164)",3
MYCYCLE LOTS,C0113,CHANGI ROAD (BET JALAN KEMBANGAN / STILL ROAD),1.31885288886554,103.911107501628,"(1.31885288886554, 103.911107501628)",10
MYCYCLE LOTS,W0021,WISHART ROAD,1.27119675459462,103.812808113519,"(1.27119675459462, 103.812808113519)",2
MYCYCLE LOTS,P0113,PASIR PANJANG FOOD CENTRE (TEMP) OFF STREET CAR PARK,1.27550389275271,103.792057226446,"(1.27550389275271, 103.792057226446)",16
MYCYCLE LOTS,W0013,WOODLANDS ROAD LORRY PARK,1.38223374990067,103.759357685162,"(1.38223374990067, 103.759357685162)",38
MYCYCLE LOTS,L0078,LORONG MYDIN OFF STREET,1.31906189390227,103.911986786955,"(1.31906189390227, 103.911986786955)",10
MYCYCLE LOTS,K0006,KAKI BUKIT ROAD 1,1.33447129978333,103.902062021235,"(1.33447129978333, 103.902062021235)",10
MYCYCLE LOTS,G0005,GRANGE ROAD / SOMERSET ROAD OFF STREET,1.30101160098902,103.83731887715,"(1.30101160098902, 103.83731887715)",66
MYCYCLE LOTS,O0010,OUTRAM ROAD,1.2853175771597,103.834774655053,"(1.2853175771597, 103.834774655053)",5
MYCYCLE LOTS,B0086,BUKIT BATOK EAST AVENUE 2 HEAVY VEHICLE PARK,1.3496966502609,103.762073715484,"(1.3496966502609, 103.762073715484)",45
MYCYCLE LOTS,O0029,ONAN ROAD OFF STREET,1.30980151639806,103.901631308606,"(1.30980151639806, 103.901631308606)",2
MYCYCLE LOTS,T0109,TELOK BLANGAH DRIVE HEAVY VEHICLE PARK,1.27360554588305,103.805765338438,"(1.27360554588305, 103.805765338438)",18
MYCYCLE LOTS,B0099,BENDEMEER ROAD HEAVY VEHICLE PARK,1.3135893800032,103.860945655705,"(1.3135893800032, 103.860945655705)",36
MYCYCLE LOTS,R0002,RACE COURSE ROAD,1.31373003035096,103.855643107274,"(1.31373003035096, 103.855643107274)",15
MYCYCLE LOTS,L0046,LORONG 34 GEYLANG,1.31329103119766,103.887766262256,"(1.31329103119766, 103.887766262256)",2
MYCYCLE LOTS,A0011,ARMENIAN STREET OFF STREET,1.29408872165714,103.848820109588,"(1.29408872165714, 103.848820109588)",7
MYCYCLE LOTS,A0011,ARMENIAN STREET OFF STREET,1.29408872165714,103.848820109588,"(1.29408872165714, 103.848820109588)",7
MYCYCLE LOTS,Z0001,ZION ROAD OFF STREET,1.29237489691924,103.83063767311,"(1.29237489691924, 103.83063767311)",5
MYCYCLE LOTS,K0078,KALLANG SPORTS COMPLEX CARPARK 4,1.30296075860284,103.876860795371,"(1.30296075860284, 103.876860795371)",5
